11,кIэгъожьыныр/ гущыкIыныр,teleurstelling,‫خيبة الأمل‬,расчараванне ,разочарование,হতাশা ,razočarenje,la decepció ,zklamání,skuffelsen,die Enttäuschung,η απογοήτευση ,disappointment,disappointment,la decepción,pettumus,‫نا امیدی‬,pettymys,la déception,אכזבה ,निराशा ,razočaranje,csalódás,kekecewaan,la delusione,失望 ,იმედგაცრუება ,실망 ,nusivylimas,vilšanās ,разочарување ,निराशाजनक ,de teleurstelling,skuffelse,ਨਿਰਾਸਤਾ ,rozczarowanie,a deceção,a decepção ,dezamăgirea,разочарование,sklamanie,razočaranje ,Zhgënjimi ,разочарење,besvikelse,ஏமாற்றம்,ఆశాభంగం ,ความผิดหวัง,hayal kırıklığı ,розчарування,‫مایوسی‬ ,sự thất vọng (chán ngán) ,失望
12,цыхьэ мышIын,wantroue,‫انعدام الثقة‬,недавер ,недоверие,অবিশ্বাস ,nepovjerenje,la desconfiança ,nedůvěra,mistilliden,das Misstrauen,η δυσπιστία ,distrust,distrust,la desconfianza,umbusk,‫بی اعتمادی‬,epäluottamus ,la méfiance,חוסר אמון ,अविश्वास ,nepovjerenje,bizalmatlanság,ketidakpercayaan,la diffidenza,不信 ,უნდობლობა ,불신 ,nepasitikėjimas ,neticību ,недоверба ,अविश्वास ,het wantrouwen,mistillit,ਅਵਿਸ਼ਵਾਸ ,nieufność,a desconfiança,a desconfiança ,neîncrederea,недоверие,nedôvera ,nezaupanje,Mosbesimi,неповерење,misstro,அவநம்பிக்கை,నమ్మకం లేకుండుట ,ความคลางแคลงใจ,güvensizlik ,недовіра,‫بے اعتباری‬ ,sự nghi kỵ (ngờ vực) ,不信任
13,еджэнджэшыныгъ,twyfel,‫الشك‬,сумнеў ,съмнение,সন্দেহ ,sumnja,el dubte,pochybnost,tvivlen,der Zweifel,η αμφιβολία ,doubt,doubt,la duda,kahtlus,‫شک‬,epäilys ,le doute,ספק ,संदेह ,sumnja,kétség,keraguan,il dubbio,猜疑心 ,ეჭვი ,의심 ,abejonė ,šaubas ,сомнеж ,शंका ,de twijfel,tvil,ਸ਼ੱਕ ,wątpliwość,a dúvida,a dúvida ,îndoială,сомнение,pochybnosť ,dvom,Dyshimi,сумња,tvivel,சந்தேகம்,సందేహము ,สงสัย,şüphe ,сумнів,‫شک‬ ,sự hoài nghi ,疑问
14,пкIыхьипIэ,droom,‫الحلم‬,мара ,сън,স্বপ্ন ,san,el somni,sen,drømmen ,der Traum,το όνειρο ,dream,dream,el sueño,unenägu ,‫رؤیا‬,unelma,le rêve,חלום ,सपना ,san,álom,mimpi,il sogno,夢 ,ოცნება ,꿈 ,sapnas,sapnis,сон ,स्वप्न ,de droom,drøm,ਸੁਪਨਾ ,marzenie,o sonho,o sonho,vis,сон,sen,sanje,Ëndrra ,сан,drömmande,கனவு,కల ,ความฝัน,rüya ,мрія,‫خواب‬ ,giấc mơ ,梦想
15,пшъын,moegheid,‫التعب‬,стомленасць ,умора,ক্লান্তি ,umor,la fatiga,únava,trætheden ,die Müdigkeit,η κόπωση ,fatigue,fatigue,la fatiga,väsimus ,‫خستگی‬,väsymys ,la fatigue,עייפות ,थकान ,umor,fáradtság,kelelahan,la fatica,疲労 ,დაღლილობა ,피로 ,nuovargis,noguruma,замор ,थकवा ,de vermoeidheid,utmattelse,ਥਕਾਵਟ ,zmęczenie,a fadiga,a fadiga,oboseală,усталость,únava ,utrujenost,Lodhja,умор,utmattning,சோர்வு,ఆయాసము ,ความเมื่อยล้า,yorgunluk,втома,‫تھکن‬ ,ss mệt mỏi ,疲劳
16,щынагъо/ щтэ,vrees,‫الخوف‬,страх ,страх,ভয় ,strah,la por,strach,frygten,die Angst,ο φόβος ,fear,fear,el miedo,hirm,‫ترس‬,pelko,la peur,פחד ,डर ,strah,félelem,rasa takut,la paura,恐怖 ,შიში ,공포 ,baimė ,bailes,страв ,भीती ,de angst,frykt,ਡਰ ,strach,o medo,o medo,frică,страх,strach,strah,Frika,страх,rädsla,பயம்,భయము ,ความหวาดกลัว,korku,страх,‫خوف‬ ,nỗi sợ ,恐惧
17,зэщыхьаныр,geveg,‫الخصام‬,барацьба ,кавга,লড়াই ,svađa,la discussió ,hádka,kampen,der Streit,η διαμάχη ,fight,fight,la discusión,tüli ,‫دعوا ‬,taistelu,la lutte,קרב ,लड़ाई ,svađa,veszekedés,perkelahian,la lite,戦い ,ბრძოლა ,싸움 ,ginčas ,cīņa ,кавга ,लढाई ,de strijd,krangel,ਲੜਾਈ ,walka,a discussão,a luta,luptă,ссора,hádka ,prepir,Përleshja ,свађа,bråk,சண்டை,పోరాటము ,การต่อสู้,kavga,боротьба,‫لڑائی‬ ,cuộc câi lộn (đánh lộn/ tranh đấu) ,争吵
18,зэкъошыныгъ,vriendskap,‫الصداقة‬,сяброўства ,приятелство,বন্ধুত্ব ,prijateljstvo,l`amistat,přátelství,venskabet,die Freundschaft,η φιλία ,friendship,friendship,la amistad,sõprus ,‫دوستی‬,ystävyys ,l`amitié,ידידות ,दोस्ती ,prijateljstvo,barátság,persahabatan,l`amicizia,友情 ,მეგობრობა ,우정 ,draugystė ,draudzība ,пријателство ,मैत्री ,de vriendschap,vennskap,ਦੋਸਤੀ ,przyjaźń,a amizade,a amizade,prietenie,дружба,priateľstvo ,prijateljstvo,Miqësia ,пријатељство,vänskap,நட்பு,స్నేహము ,มิตรภาพ,dostluk,дружба,‫دوستی‬ ,tình hữu nghị (tình bạn) ,友谊
19,гуапэ/ гухахъу,pret,‫المتعة‬,весела ,забавление,মজা ,zabava,la diversió ,zábava,det sjove,der Spaß,η διασκέδαση ,fun,fun,la diversión,lõbu ,‫شوخی، بازی‬,hauska,le plaisir,כיף ,मजाक ,zabava,móka,kesenangan,il divertimento,楽しみ ,გართობა ,재미 ,smagumas,jautri,забава ,गंमत ,het plezier,moro,ਮਜਾਕ ,zabawa,a diversão,a diversão ,distracţie,удовольствие,zábava ,zabava,Argëtimi ,забава,roligt,வேடிக்கை,వినోదము ,ความสนุกสนาน,eğlence ,заловолення,‫تفریح‬ ,niềm vui thú ,乐趣
20,чэфынчъагъ/ гукъау,hartseer,‫الحزن‬,гора ,скръб,বিষাদ ,tuga,el dolor,žal,sorgen,die Trauer,η θλίψη ,grief,grief,el dolor,lein,‫غم‬,suru,la douleur,צער ,शोक ,žalost,bánat,kesedihan,l`affizione,悲しみ ,მწუხარება ,슬픔 ,sielvartas,bēdas ,жалост ,शोकाचे कारण ,het verdriet,sorg,ਦੁੱਖ ,żal,o desgosto,o pesar,durere,печаль,smútok ,žalovanje ,Pikëllimi ,жалост,sorg,வருத்தம்,వ్యసనము ,ความเศร้าโศก,keder,горе,‫غم‬ ,nỗi đau buồn ,悲伤
21,нэшIэ-IушIагъ,gryns,‫التجهم‬,грымасе ,гримаса,মুখবিকৃতি ,grimasa,la ganyota,grimasa,grimassen,die Grimasse,ο μορφασμός ,grimace,grimace,la mueca,grimass,‫شکلک‬,irvistys,la grimace,עווית ,मुंह बनाना ,grimasa,fintor,seringai,la smorfia,しかめっ面 ,გრიმასი ,찡그린 표정 ,grimasa,the grimase,гримаса ,वाकुली ,de grijns,grimase,ਕਚੀਚੀ ਵੱਟਣਾ ,grymas,a careta,a careta,grimasă,гримаса,grimasa,grimasa,Ngërdheshja ,гримаса,grimaserande,பழிப்பு,అపహాస్యము ,หน้าบึ้ง,yüzünü ekşitme ,гримаса,‫منہ بنانا‬ ,vẻ nhăn nhó ,鬼脸
22,насып,geluk,‫السعادة‬,шчасце ,щастие,সুখ ,sreća,la sort,štěstí,lykken,das Glück,η ευτυχία ,happiness,happiness,la suerte,õnn ,‫اقبال‬,onni,le bonheur,אושר ,सुख ,sreća,boldogság,kebahagiaan,la felicità,幸福 ,ბედნიერება ,행복 ,laimė ,laime,среќа ,सुखी ,het geluk,lykke,ਖੁਸ਼ੀ ,szczęście,a felicidade,a felicidade,fericire,счастье,šťastie ,sreča ,Lumturia,срећа,lycka,மகிழ்ச்சி,ఆనందము ,ความสุข,mutluluk,щастя,‫خوشی‬ ,niềm hạnh phúc ,幸福
23,гугъэ,hoop,‫الأمل‬,надзея ,надежда,আশা ,nada,l`esperança ,naděje,håbet ,die Hoffnung,η ελπίδα ,hope,hope,la esperanza,lootus,‫امید‬,toivoa,l`espoir,תקווה ,आशा ,nada,remény,harapan,la speranza,希望 ,იმედი ,희망 ,viltis,cerība ,надеж ,आशा ,de hoop,håp,ਉਮੀਦ ,nadzieja,a esperança,a esperança ,speranţă,надежда,nádej ,upanje,Shpresa,нада,hopp,நம்பிக்கை,ఆశ ,ความหวัง,umut,надія,‫امید‬ ,niềm hy vọng ,希望
24,гъаблэ,honger,‫الجوع‬,голад ,глад,ক্ষুধা ,glad,la fam,hlad,sulten,der Hunger,η πείνα ,hunger,hunger,el hambre,nälg ,‫گرسنگی‬,nälkä ,la faim,רעב ,भूख ,glad,éhség,kelaparan,la fame,飢餓 ,შიმშილი ,배고픔 ,alkis,izsalkums,глад ,उपासमार ,de honger,sult,ਭੁੱਖ ,głód,a fome,a fome,foame,голод,hlad,lakota,Uria,глад,hunger,பசி,ఆకలి ,ความหิว,açlık ,голод,‫بھوک‬ ,cơn đói (niềm khao khát) ,饥饿
25,шIогъэшIэгъон,belangstelling,‫الإهتمام‬,цікавасць ,интерес,সুদ ,interesovanje,l`interès ,zájem,interessen,das Interesse,το ενδιαφέρον ,interest,interest,el interés,huvi,‫علاقه‬,korko,l`intérêt,עניין ,अभिरूचि ,interes,érdeklődés,ketertarikan,l`interesse,関心 ,ინტერესი ,관심 ,susidomėjimas ,procentu,интерес ,आवड ,de interesse,interesse,ਦਿਲਚਸਪੀ ,zainteresowanie,o interesse,o interesse,interes,интерес,záujem ,zanimanje,Interesi,интересовање,intresse,ஆர்வம்,ఆసక్తి ,น่าสนใจ,ilgi,інтерес,‫دلچسپی‬ ,mối quan tâm (lợi ích) ,兴趣
26,гушIуагъо,vreugde,‫الفرحة‬,радасць ,радост,আনন্দ ,radost,l`alegria,radost,glæden ,die Freude,η χαρά ,joy,joy,la alegría,rõõm ,‫شادی‬,ilo,la joie,שמחה ,आनंद ,radost,öröm,sukacita,la gioia,喜び ,სიხარული ,기쁨 ,džiaugsmas ,prieks,радост ,आनंद ,de vreugde,glede,ਆਨੰਦ ,radość,a alegria,a alegria,bucurie,радость,radosť ,veselje,Gëzimi ,радост,glädje,மகிழ்ச்சி,సంతోషము ,ความสุข,sevinç ,радість,‫خوشی‬ ,niềm vui ,喜悦
27,бэоныр,soen,‫القبلة‬,пацалунак ,целувка,চুম্বন ,poljubac,el petó ,polibek,kysset,der Kuss,το φιλί ,kiss,kiss,el beso,suudlus,‫بوسه‬,suudelma,le baiser,נשיקה ,चुंबन ,poljubac,csók,ciuman,il bacio,キス ,კოცნა ,키스 ,bučinys ,skūpsts ,бакнеж ,चुंबन ,de kus,kyss,ਚੁੰਬਣ ,pocałunek,o beijo,o beijo,sărut,поцелуй,bozk,poljub,Puthja,пољубац,kyss,முத்தம்,ముద్దు ,จูบ,öpücük ,поцілунок,‫پیار / چومنا‬ ,nụ hôn ,吻
28,зэкъоныгъ,eensaamheid,‫الشعور بالوحدة‬,адзінота ,самота,একাকিত্ব ,usamljenost,la solitud,osamělost,ensomheden,die Einsamkeit,η μοναξιά ,loneliness,loneliness,la soledad,üksindus ,‫تنهایی‬,yksinäisyys ,la solitude,בדידות ,अकेलापन ,samoća,magány,kesepian,la solitudine,孤独 ,მარტოობა ,외로움 ,vienatvė ,vientulība ,осаменост ,एकाकीपणा ,de eenzaamheid,ensomhet,ਇਕੱਲਾਪਨ ,samotność,a solidão,a solidão ,singurătate,одиночество,osamelosť ,osamljenost,Vetmia,усамљеност,ensamhet,தனிமை,ఒంటరితనము ,ความเหงา,yalnızlık ,самотність,‫تنہائی‬ ,sự cô đơn ,寂寞
29,шIулъэгъу,liefde,‫الحب‬,каханне ,любов,প্রেম ,ljubav,l`amor,láska,kærligheden ,die Liebe,η αγάπη ,love,love,el amor,armastus,‫عشق‬,rakkaus,l`amour,אהבה ,प्यार ,ljubav,szerelem,cinta,l`amore,愛 ,სიყვარული ,사랑 ,meilė ,mīlestība ,љубов ,प्रेम ,de liefde,kjærlighet,ਪਿਆਰ ,miłość,o amor,o amor,iubire,любовь,láska ,ljubezen,Dashuria,љубав,kärlek,அன்பு,ప్రేమ ,ความรัก,aşk ,любов,‫محبت‬ ,tình yêu ,爱
30,гумэхагъ/ нэшхъэигъ,swaarmoedigheid,‫الكآبة‬,меланхолія ,меланхолия,বিষণ্নতা ,melanholija,la malenconia,melancholie,melankoli,die Melancholie,η μελαγχολία ,melancholy,melancholy,la melancolía,melanhoolia,‫سودا‬,melankolia,la mélancolie,מלנכוליה ,उदासी ,melankolija,melankólia,kemurungan,la malinconia,憂鬱 ,სევდა ,우울 ,melancholija,skumīgo ,меланхолија ,विषाद ,de melancholie,melankoli,ਉਦਾਸੀ ,melancholia,a melancolia,a melancolia,melancolie,меланхолия,melancholické ,melanholija,Melankolia,меланхолија,melankoli,துக்கம்,వ్యసనము ,เศร้าโศก,melankoli,меланхолія,‫افسردگی / اداسی‬ ,nỗi u sầu ,忧郁
31,ыгукIэ изэрэщыт,stemming,‫المزاج‬,настрой ,настроение,মেজাজ ,raspoloženje,l`estat d`ànim ,nálada,stemningen,die Stimmung,η διάθεση ,mood,mood,el estado de ánimo,tuju,‫خلق و خوی‬,mieliala,l`humeur,מצב הרוח ,मनोदशा ,raspoloženje,hangulat,suasana hati,lo stato d`animo,気分 ,განწყობა ,분위기 ,nuotaika,noskaņa ,расположение ,मनाचा कल ,de stemming,stemning,ਮਨੋਦਸ਼ਾ ,nastrój,o humor,o humor,stare de spirit,настроение,nálada ,razpoloženje ,Humori,расположење,stämningen,மனநிலை,మానసిక స్థితి ,อารมณ์,ruh hali,настрій,‫موڈ‬ ,tâm trạng ,心情
32,нэшIогушIуагъ/ оптимизм,optimisme,‫التفاؤل‬,аптымізм ,оптимизъм,আশাবাদ ,optimizam,l`optimisme,optimismus,optimismen,der Optimismus,η αισιοδοξία ,optimism,optimism,el optimismo,optimism,‫خوش بینی‬,optimismi,l`optimisme,אופטימיות ,आशावाद ,optimizam,optimizmus,optimisme,l`ottimismo,楽観 ,ოპტიმიზმი ,낙관론 ,optimizmas,optimisms,оптимизам ,आशावाद ,het optimisme,optimisme,ਆਸ਼ਾਵਾਦ ,optymizm,o otimismo,o otimismo,optimism,оптимизм,optimizmus,optimizem,Optimizmi,оптимизам,optimism,நம்பிக்கை,ఆశావాదము ,มองในแง่ดี,iyimserlik,оптимізм,‫خوش امیدی‬ ,sự lạc quan ,乐观
33,егъэлыягъэу щынэныгъ,paniek,‫الذعر‬,паніка ,паника,আকস্মিক ভীতি ,panika,el pànic ,panika,panikken,die Panik,ο πανικός ,panic,panic,el pánico,paanika,‫بیم و هراس‬,paniikki,la panique,פאניקה ,आतंक ,panika,pánik,kepanikan,il panico,パニック ,პანიკა ,공포 ,panika,panikas,паника ,एकदम घाबरुन जाणे ,de paniek,panikk,ਘਬਰਾਹਟ ,panika,o pânico,o pânico ,panică,паника,panika,panika,Paniku,паника,panik,பெரும் அச்சம்,భీతి ,ความหวาดกลัว,panik,паніка,‫گھبراہٹ‬ ,sự hoảng loạn ,恐慌
34,зэрымырыныгъ,radeloosheid,‫الحيرة‬,здзіўленні ,недоумение,হতবুদ্ধিতা ,bespomoćnost,la perplexitat,bezradnost,rådvildheden ,die Ratlosigkeit,η αμηχανία ,perplexity,perplexity,la perplejidad,nõutus ,‫سرگشتگی‬,avuttomuus,la perplexité,מבוכה ,व्यग्रता ,bespomoćnost,tanácstalanság,kebingungan,la perplessità,当惑 ,დაბნეულობა ,당혹감 ,apstulbimas,the samulsums,збунетост ,मनाची गोंधळलेली अवस्था ,de verbijstering,forvirring,ਹੈਰਾਨੀ ,rozterka,a perplexidade,a perplexidade,nedumerire,растерянность,bezradnosť ,zbeganost,Hutimi,беспомоћност,förvirring,குழப்பம்,కలవరము ,ฉงนสนเท่ห์,şaşkınlık ,розгубленість,‫الجھن‬ ,sự lúng túng ,困惑
35,Губжы ин/ пхъэшэныгъ,woede,‫الغضب‬,лютасьць ,ярост,তর্জন - গর্জন ,gnijev,la ràbia ,vztek,raseri,die Wut,η οργή ,rage,rage,la rabia,raev,‫خشم‬,raivo,la rage,זעם ,क्रोध ,bijes,düh,kemarahan,la rabbia,激怒 ,მრისხანება ,분노 ,įniršis ,dusmas,бес ,संताप ,de woede,raseri,ਕ੍ਰੋਧ ,wściekłość,a raiva,a ira,furie,ярость,zlosť ,bes,Tërbimi ,бес,raseri,ஆத்திரம்,విపరీతమైన కోరిక ,ความโกรธ,öfke ,лють,‫غصہ‬ ,cơn thịnh nộ ,愤怒
36,мыдэныр,verwerping,‫الرفض‬,адмову ,отказ,প্রত্যাখ্যান ,odbijanje,el rebuig,odmítnutí,afvisningen,die Ablehnung,η απόρριψη ,rejection,rejection,el rechazo,keeldumine,‫رد‬,hylkääminen ,le refus,דחייה ,अस्वीकृति ,odbijanje,elutasítás,penolakan,la disapprovazione,拒絶 ,უარის თქმა ,거부 ,atmetimas,noraidījums ,отфрлање ,नकार ,de afwijzing,avvisning,ਅਸਵੀਕਾਰਤਾ ,odrzucenie,a rejeição,a rejeição ,respingere,отказ,odmietnutie,zavrnitev,Refuzimi,одбиjање,avslag,நிராகரிப்பு,నిరాకరణ ,การปฏิเสธ,reddetme,відмова,‫انکار‬ ,sự chối từ (cự tuyệt. bác bỏ) ,拒绝
37,фыщытыкIэ,verhouding,‫العلاقة‬,адносін ,връзка,সম্পর্ক ,veza,la relació ,vztah,forholdet,die Beziehung,η σχέση ,relationship,relationship,la relación,suhe,‫رابطه‬,suhde,la relation,מערכת יחסים ,रिश्ता ,odnos,kapcsolat,hubungan,il rapporto,関係 ,ურთიერთობა ,관계 ,santykiai,attiecības ,однос ,संबंध ,de relatie,forhold,ਰਿਸ਼ਤਾ ,związek,o relacionamento,o relacionamento,relaţie,отношение,vzťah ,odnos,Lidhja,веза,förhållande,உறவு,సంబంధము ,ความสัมพันธ์,ilişki ,відносини,‫تعلق‬ ,mối quan hệ ,关系
38,кIэупчIэн,versoek,‫الطلب‬,запыт ,молба,অনুরোধ ,zahtjev,la petició ,žádost,anmodningen,die Aufforderung,το αίτημα ,request,request,la petición,kutse,‫درخواست‬,pyyntö ,la demande,בקשה ,अनुरोध ,zahtjev,kihívás,permintaan,la richiesta,リクエスト ,მოთხოვნა ,요청 ,prašymas ,pieprasījums ,барање ,विनंती ,het verzoek,oppfordring,ਬੇਨਤੀ ,żądanie,o pedido,o pedido,cerere,требование,výzva ,zahteva,Kërkesa ,захтев,begäran,விண்ணப்பம்,అభ్యర్థన ,ร้องขอ,Talep,вимога,‫التجا‬ ,yêu cầu ,请求
39,куо макъ/ кIый макъ,skree,‫الصرخة‬,крык ,писък,চিত্কার ,vrisak,el crit,výkřik,skriget,der Schrei,η κραυγή ,scream,scream,el grito,karje,‫فریاد‬,huuto,le cri,צעקה ,चीख ,vrisak,sikoly,jeritan,il grido,悲鳴 ,კივილი ,비명 ,riksmas,Kliedziens,вресок ,किंचाळणे ,de schreeuw,skrik,ਚੀਖ ,krzyk,o grito,o grito,ţipăt,крик,výkrik ,krik,Piskama,врисак,skrik,அலறல்,అరుపు ,เสียงกรีดร้อง,çığlık ,крик,‫چیخ‬ ,tiếng la hét (gào thét) ,大叫
40,щынэгъончъэ,sekuriteit,‫الأمن‬,бяспеку ,сигурност,নিরাপত্তা ,bezbijednost,la seguretat,bezpečí,sikkerheden,die Geborgenheit,η ασφάλεια ,security,security,la seguridad,turvalisus,‫امنیّت‬,turvallisuus,la sécurité,בטחון ,सुरक्षा ,sigurnost,biztonság,keamanan,la sicurezza,安心 ,უსაფრთხოება ,안도감 ,saugumas,drošības ,безбедност ,सुरक्षितता ,de veiligheid,trygghet,ਸੁਰੱਖਿਆ ,bezpieczeństwo,a segurança,a segurança ,securitate,безопасность,istota,varnost,Siguria,безбедност,trygghet,பாதுகாப்பு,భద్రత ,การรักษาความปลอดภัย,Güvenlik ,безпека,‫حفاظت / سیکورٹی‬ ,an ninh,安全
